문장,긍정 확률,star,result
사람들의 기대를 저버린것에 대한 후폭풍도 생각했으면 더 좋은 영화가 되었을지도 모르겠는데 ,0.25603529810905457,5,1.0
웃음이 고통스러운 세상 ,0.13508765399456024,8,1.0
조커에 대한 환상이 클수록 실망도 크겠지만 이 것이 바로 현실이라는 것을 일깨워주는 영화 ,0.9753716588020325,9,9.0
재밌읍니다재밌읍니다 ,0.9906485676765442,10,10.0
탄생보다 쓸쓸한 조커의 퇴장 ,0.413648396730423,7,3.0
조커 풀로수면이 되 ,0.08186253905296326,4,0.0
아서가 죽어서 남긴 조커란 정신병은 고담을 불바다로 만들고 배트맨의 악몽이 되겠지 ,0.17005471885204315,8,1.0
조커 영화 재밌게 잘 봤어요 ,0.9924334287643433,10,10.0
아서의 머릿속처럼 영화도 혼란스럽다 ,0.010316558182239532,7,0.0
편에서 세상에서 고립된 주인공이 완전한 관계 단절에 의해 아서플렉에서 조커가 되었다 편에서는 이런 주인공이 한줄기의 관계를 통해 다시 조커가 아닌 아서플렉이 될 수밖에 없다 하지만 그 관계는 조커에서 비롯되었기에 인간 아서는 파멸할 수밖에 없는 역설을 담았다 결과가 파국일 것이 훤히 보이지만 그럼에도 불쌍한 아서플렉에게는 아름다운 서사이다 ,0.9923990368843079,10,10.0
몇년 간의 기대가 수포로 ,0.09601578116416931,1,0.0
기대를 접고 원내고 봤는데도 별로였음 ,0.007436172105371952,2,0.0
조커 폴리 아 되  조커가 되 ,0.8248186111450195,8,7.0
영상미며 연출은 깔게 없다 ,0.017153475433588028,10,0.0
노래를 너무 많이 불러서 몰입하는데 너무 방해됬어요 뮤지컬만 아니었어도  ,0.04119432345032692,5,0.0
스토리 자체에는 불만이 없지만 전체적으로 늘어지는 또 중간중간 몰입감과 흐름을 뚝뚝 끊는 뮤지컬 요소 등등 그냥 조커라는 캐릭터를 갖고 만든 패러디 영화 수준으로 느껴졌다 ,0.20975814759731293,5,1.0
굉장히 무겁고 암울한 영화지만 좋은 영화였습니다 ,0.9922686219215393,10,10.0
요즘처럼  어느것이 진짜인지 모를 정도로 혼란스러운 시대에 조커는 이세상을 대변하는 영화같아서 마음이 쓰이고 아팠다 ,0.9922258853912354,9,9.0
뮤지컬보다는 그냥 노래를 자주 부르는 영화납득은 가는데 굳이 이렇게 만들어야했을까 ,0.031310196965932846,7,0.0
그냥 편처럼이나 만들지 노래를 너무 많이하는데 그 노래들이 좋지도 않아 괴로웠다 ,0.015354984439909458,4,0.0
좋게 보긴 했지만 그래도 뮤지컬씬은 좀 ,0.2929263114929199,7,2.0
사회 부적응자가 얼떨결에 심볼이 되어버린 이야기 조커가 아닌 아서플렉을 보여주고자 했다면 조커를 보러 온 사람들에게 거짓말을 조커를 보여주고자 했다면 그저 일반 범죄자인 평범한 조커를 보여준 잘못된 영화 ,0.05606910586357117,5,0.0
이랑 수미상관인 작품  혹평이 많지만 나쁘지 않게 봤네요 연기랑 구성은 좋아요 ,0.9871246814727783,7,7.0
그의 결말은 결국 정해져있음을 ,0.7702419757843018,7,5.0
그림자는 의지와 무관하게 길어지고 짧아진다 ,0.21673287451267242,8,2.0
아서 플렉이 아닌 조커가 보고싶었던 나에게 실망을 주었지만 너무나도 현실적이라서 더 가슴아픈 영화 ,0.9923248291015625,6,6.0
재미있습니다 재미있습니다 ,0.992493212223053,8,8.0
조커 폴리 아 되 점  ,0.4610597789287567,4,2.0
연출 연기 다 훌륭했다 희대의 빌런에서 인간 아서플렉을 보여주는거라 너무좋았다 그리고 그런 아서에게는 죽을때까지 아무도 사랑은 커녕 관심조차 없었다는게 슬펐다 ,0.9915657043457031,10,10.0
전편의 노선을 벗어난 용기에 박수를 보내지만 노래가 너무 많긴 하다 ,0.21293063461780548,6,1.0
자극적인 매운 맛을 기대했지만 이 맛도 나쁘진 않다 ,0.5423208475112915,7,4.0
뭐 기대완 다르지만 그럭저럭이었긴아니다 그냥 별로  나오면 보세요 ,0.044041428714990616,6,0.0
이게 최선인가 너무별로 ,0.009487730450928211,2,0.0
영화 감상 즐거웠습니다 ,0.9704536199569702,10,10.0
갑자기 뮤지컬이길래 놀랐는데깔끔하게 잘 끝낸것같음호아킨 독백 대사 칠때마다 흡입력이 죽여줌그리고 할리퀸도 무서웠고 ,0.9920542240142822,10,10.0
조커를 기대한 사람들에게 선사하는 몽상가의 전기 ,0.5429730415344238,6,3.0
인물에 몰입하려고 할 때마다 노래가 나와서 몹시 짜증이었습니다 뮤지컬이 아닌 다른 방식으로 현실과 망상을 구분했으면 어땠을까 싶었습니다 ,0.17412351071834564,5,1.0
폴리아되가 나옴으로써 조커가 완성된 느낌 ,0.9852215647697449,10,10.0
영화자체는 나쁘지않게 만듬 하지만 뮤지컬 요소가 몰입자꾸 꺰 ,0.8720217943191528,6,5.0
다들 혹평하시는데 조커과 장르가 달라서 그렇지 영화 자체로만 보면 전 나쁘지않았습니다 ,0.9788434505462646,8,8.0
덜성숙한 자아와 사회가 만들어낸 한편의 뮤지컬 ,0.7836822867393494,10,8.0
조금 지루한 감이 있었어서 뭔말을 하는건지는 알겠는데 늘어지는 느낌 ,0.029358115047216415,6,0.0
아서플렉 자신도 볼 수 없고 관객에게도 관찰이 허락되지 않은 가늠할 수 없는 깊이의 고독 ,0.9830294251441956,9,9.0
결국 남은 것은 인간 아서 플렉이지만 모두들 아서는 궁금해하지 않는다 기억하지 않는다 사랑하지 않는다 잔혹한 인간들은 조커만을 기억할 뿐이다 ,0.9491752982139587,7,7.0
도대체 왜왜왜 편과 이렇게 느낌이 다른가요 ,0.03600865975022316,6,0.0
연출에 비해 압도적인 연기 ,0.9287313222885132,4,4.0
너무좋아요재미있어요 ,0.9921513795852661,8,8.0
영화 조커 폴리 아 되를 보았습니다 ,0.7832044363021851,10,8.0
광기만 남은 아이콘과 표상의 처절한 자기해체 ,0.047075673937797546,7,0.0
조커는 없고 아서만 있었을 뿐이다 ,0.03081406280398369,10,0.0
편을 차근차근 해체해나가는 맛이 일품 ,0.8031230568885803,7,6.0
개봉하자마자 달려갈 정도로 조커 팬이었다 은 최소 번은 봤다 근데도 이번 영화는 돈 아깝다 ,0.009743034839630127,1,0.0
시간이 지나면 지날수록 세월이 흐르면 흐를수록 작품에 대한 평가는 달라질 것입니다 조커 폴리 아 되는 그런 작품입니다 ,0.985912024974823,8,8.0
하도 탄보다 못하다 소리를 듣고 기대를 버려서 그런가 그렇게까지 나쁘진 않았는데 좀 길긴 하네요 ,0.028407171368598938,8,0.0
노래 비중이 너무 많아 뮤지컬형식의 영화인 줄 모르고 본 사람의 입장에서는 피로함을 넘어 불쾌한 수준이었음 연기자체는 좋았지만 재미가 없음 ,0.007594421971589327,2,0.0
제법 흥미롭게 봤지만 정이 가지 않는다 ,0.159706711769104,7,1.0
조커를 압도하는 할리 퀸젤 ,0.9034954309463501,8,7.0
나는 조커는 그냥 악당이라는 것만 아는 사람이고 애인님이 조커좋아해서 영화관 따라가서 봤음 아 라는 사람 그자체의 감정선을 따라가며 호아킨피닉스의 말도 안되는 연기에 몰입하며 조커력이 올라가는 장면마다 안돼 돌아와 하며 조마조마 초조해하면서 봄 하지만 그때마다 몰입을 깻던건 뮤지컬 노래 뮤지컬영화는 시카고말고는 안보는 사람인데 이제 제발 그만좀 노래해하며 괴로웠음 몰입하다가 깨지고를 반복하니까 너무  허무해지더라 아서가 불쌍한 사람인건 맞지만 죄를 지었으면 벌을 받아야하며 이영화는 조커에 대한 처형이었다 ,0.7989261746406555,7,6.0
후반부까지 노래가 계속 나오니까 아쉽긴 하지만   시각적으로 만족스러웠고 아서를 또 볼 수 있어서좋았다 ,0.9920153617858887,8,8.0
그래도 와 남녀 주연배우의 연기는 남았다 ,0.320462167263031,6,2.0
기대이상으로 좋았습니다  ,0.9924650192260742,10,10.0
침잠과 번뇌의 결과 처절하고 씁쓸한 퇴장 ,0.767659604549408,6,5.0
롤로노아 조커  아무 일도 없었다 ,0.10552342981100082,6,1.0
연출이 많이 아쉬움 뮤지컬로 왜 한지는 알겠는데 아쉬움 ,0.02506435289978981,6,0.0
조커는 사람이 아니라 자리였다 ,0.7585124373435974,7,5.0
뮤지컬만 아니면 완벽했던 영화 ,0.9923908114433289,8,8.0
