문장,긍정 확률,star,result
예전에 좋게 본 기억이 있어서 다시 봤는데 그냥 그랬어요어릴때라 재밌게 본건가 ,0.26177361607551575,6,2.0
순수했던 그때로 돌아간거같아 좋긴한데 나이를 먹으니 자꾸 그 뒤에 있는 인물들이 더 눈에 밟힌다 ,0.9704769849777222,7,7.0
다시 봐도 좋다 재개봉해서 행복  ,0.9922007918357849,10,10.0
재밌읍니다재밌읍니다 ,0.9906485676765442,10,10.0
쉽게 잊지 못할 모든 감정들 ,0.862163245677948,8,7.0
영상미 좋고 요즘 영화에서 찾아보기 힘든 그시절의 정서가 있으나 기대해서 그런가 스토리는 크게 감동이 없었다 ,0.12240376323461533,8,1.0
포스터 멋지네요 하하하 ,0.7524659037590027,7,5.0
영상이며 스토리며 연기며 다 좋았어요오랜만에 스크린으로 보니 더 좋네요 ,0.9916444420814514,8,8.0
사랑에는 희생이 따른다 나와 너를 포함해 주변 사람들까지도 그럼에도 진정한 사랑에는 그만한 가치가 있다고 믿는다 사랑을 믿는다면 ,0.9924283623695374,8,8.0
재개봉해서 보았습니다 재밌어요 ,0.9925104379653931,10,10.0
너무 기대를 해서일까 기대보단 아쉬웠습니다 ,0.03151454031467438,8,0.0
예전영화지만 여전히 재밌었네요 ,0.9920738935470581,8,8.0
재밌는 영화입니다 추천해요 ,0.9925364255905151,10,10.0
아름답고 찬란한 우리의 그 시절 싸우고 또 상처 받아도 결국 서로를 간절히 원하기에 우린 그것을 운명이라고 부르기로 했다 ,0.9924539923667908,10,10.0
좋은 영화 잘 봤습니다 ,0.9806391596794128,7,7.0
사랑 다시 불러도 뜨거운 순간 ,0.9880114197731018,10,10.0
모든 장면과 대사가 꿈결과도 같고 사랑 그 자체였다 ,0.9918256998062134,10,10.0
레이첼 맥아담스 너무 사랑스러움 ,0.9920362830162048,10,10.0
일반적인 로멘스 영화가 여름이나 크리스마스가 제철이라면 이 영화는 가을이 제철 같다 분명 풍요롭지만 어딘가 쌀쌀하여 옷깃을 여미게 하는그런 아름다움 ,0.9922685027122498,8,8.0
결혼전에는 그저 진부한 사랑 이야기 라고 생각했어요노아가 우린 늘 싸우겠지 그래도 널 사랑할거야 라는 대사에 지금 나의 배우자 모습이 떠오르면서 저절로 눈물이 났어요노아의 순수하면서 불같은 사랑의 모습에 절로 웃음도 나며 눈물도 나며 공감하며 보았습니다재개봉하면 또 보고싶습니다 ,0.9915804266929626,10,10.0
년전이라 남녀 주인공들 겁나 풋풋하네요 옛날 감성이지만 매력적이고 재미있네요 ,0.991636335849762,10,10.0
봐도 봐도 재미있는 영화 ,0.9921923279762268,9,9.0
누군가에겐 영원한 인생영화 ,0.9921076893806458,10,10.0
그냥 대놓고 약혼남만 불쌍한데 전혀 공감이 안됨 ,0.007627585437148809,4,0.0
말이 필요 없는 명작 재개봉 환영이네요 ,0.9923292994499207,9,9.0
이 영화가 벌써 년전 영화라니 감동은 여전하네요 ,0.7100254893302917,9,6.0
보편적이고 대중들이 좋아하는 요소가 많은 멜로물입니다 청소년기부터 죽음 직전까지 서로를 사랑하고 애틋하게 생각한다는 점이 인상 깊네요 그외에도 영상미와 연출이 낭만적인 부분이 꽤 많습니다 ,0.9914752244949341,10,10.0
옛날엔 재밌었는데 다시 보니까 올드함 ,0.803073525428772,10,8.0
모든게 완벽한 영화였다 이 영화를 지금 시기에영화관에서 본건 최고의 선택이었다 ,0.9921208620071411,10,10.0
다시 볼때마다 조금씩 다른 느낌으로 다가오는 명작 ,0.991891622543335,8,8.0
뻔하지만 좋았음 뻔해서 좋았을지도 ,0.9673407673835754,8,8.0
보고 싶었던 영화였는데재개봉하길래 바로 보고 왔네요잘 봤습니다 ,0.9924635887145996,10,10.0
뻔하지만 깊은 울림을 준다 ,0.9912452101707458,8,8.0
인생영화에요 썸타면  ,0.9857363104820251,10,10.0
아름다운 영상이 좋아요 ,0.9923309087753296,10,10.0
가끔 생각날 때 보는 영화 ,0.9857540130615234,10,10.0
다시 보는데도 너무 재미있었습니다 ,0.9920470714569092,10,10.0
그때 개봉년도 기준으로 띵작이였네요 연기도 멋지고 풋풋하고 찐사랑얘기 좋았어요 ,0.9925574064254761,8,8.0
아주좋아요 ,0.9897586107254028,10,10.0
그렇게 치고 박고 싸우면서도 그럼에도 사랑한다고 그래도 사랑할 거라고 말하는 남자 주인공의 말에 이런게 사랑이구나 라고 느꼈다 ,0.992424488067627,8,8.0
멜로영화의 정석이라 할수있는 영화 ,0.9908722043037415,10,10.0
나의 인생영화  저런사랑이 하고싶습니다 ,0.9923352599143982,10,10.0
좋아하는 영화에요 몇 번 째 보는지 ,0.9923755526542664,10,10.0
인생 최고의 영화 평점이 무의미 ,0.9913886189460754,10,10.0
생각보다 그렇게 극찬할정도는 아닌거 같은데 ,0.11406604945659637,8,1.0
어디가서 다시는 만나지 못할 제게 특별한 사람을 이 영화를 함께 보고 만나게 되었습니다 특별할 것 없는 이야기인 것 같은데 왜인지 가슴이 뜨거워지고 벅찬 영화였습니다 나이가 들어서도 지금처럼 열렬히 은은하게 오랫동안 사랑할 수 있기를 사랑하는 사람을 어렵게 찾았고 만나게 되었듯이 오늘이 마지막 날인 것처럼 늘 서로 아껴주고 사랑하며  살아갈 수 있기를 난 비록 죽으면 쉽게 잊혀질 평범한 사람일지라도 영혼을 바쳐 평생 한여자를 사랑했으니 내 인생은 성공한 인생입니다노아 내 인생 마지막 즈음에 노아와 같은 고백을 할 수 있게 되는 우리가 되기를 ,0.9907384514808655,10,10.0
고등학교때 번을 넘게봤던 영화인데 영화관에서 여자친구랑 볼수있어서 너무좋았는데 그때 그시절 느꼈던 감정보다 지금 옆에 있는 여자친구와 보는 그감정은 정말 아름다웠습니다 이영화정말 인생최고의 영화입니다 ,0.9916204214096069,10,10.0
언제 봐도 좋은 영화 ,0.992385983467102,10,10.0
레이첼 맥아담스가 너무 이뻤다 ,0.98178631067276,7,7.0
이건 뭐 말이 필요없는 죽기전 꼭 봐야할 영화중 하나죠극장에서 본건 오늘이 처음인데 늘 다시 봐도 좋네요다들 코로나 조심하세요 ,0.9920263886451721,10,10.0
 스토리도 최고지만초반에는 앨리의 연기에빠져있었고부모님의 눈빛과 연기시네마 의 큰 스크린에서는 모든게 담겨보이는 영화였다약혼자도 얼마나 억울했을까 하지만 그녀를 보내주었다나이들수록 보이는게 많아져 번째 보는 어제 밤이 가장인상깊고 재밌었다노아가 죽기전 퇴원하자마자 입떨며 앨리에게 다가가는 혼신의 힘을 보고 눈물이 왈칵 ,0.9919708967208862,10,10.0
오랜만에 다시 보니 너무 감동적이었어요 ,0.9919320940971375,10,10.0
감정이입이 된다면 너무나도 몽환적인 영화같다일어날수있을것같은데 주인공이나였더라도가능했을까 꿈만같은데 안되겠지정말 깊은 첫사랑을 경험했다면용기 혹은 후회 혹은 아름답다다양한 감정을 느끼게해줄영화정말 아프지만 아름다운 꿈같은데 가능할것같지만믿을수없는 영화강하진 않은데 임팩트있는 영화라고생각합니다 ,0.9921777844429016,10,10.0
감동과 여운이 극장 나와서도 계속됩니다 ,0.992171049118042,10,10.0
내 최애 영화를 처음으로 영화관에서 봅니다 함께 보고싶었던 사람의 빈 옆자리와 함께 혼자 보았어요 그사람이 이 영화를 꼭 보길 바래요 세상에서 무엇이 제일 중요한지 깨닫길 바랍니다 ,0.9923378825187683,10,10.0
기대를 너무 했던 탓인지 기대에는 조금 못미쳤다 휴지 준비해갔는데 울지않음 ,0.031286437064409256,7,0.0
가슴이 촉촉해지는 영화 ,0.9919158816337585,10,10.0
사귈때 처음보고 헤어지고 또 보니 눈물이 안멈추는 영화 ,0.8365865349769592,10,8.0
예전 영화지만 재개봉으로인해 처음봐요  지루할까 걱정했는데 시간지나가는줄 모르고 너무 감동적이였어요 ,0.991881787776947,10,10.0
진부하다고는 할 수 없으나 예상 가능한 스토리와 감동이라 감정의 파도가 몰아치는 정도는 아니었다배우들의 연기와 비주얼은 짜릿했음 ,0.992520809173584,8,8.0
앨리의 웃음이 너무 순수하게 행복해보여서 다시 찾게되는 영화 ,0.9916222095489502,10,10.0
라이언 수염 없으면 아쉬운데 중간에  기름 ,0.36533817648887634,10,4.0
어떻게 보면 불륜미화영화라고 볼 수 있지만 재밌게 봤음 ,0.9921479821205139,8,8.0
진짜 미쳤어노아 앨리 ,0.3693579137325287,10,4.0
년동안 옛 첫사랑을 못잊은사람이에요그래서 노트북을 보고싶어했었는데 더못잊겠어요 앞으로 년을 더기다려보겠습니다 ,0.9880309700965881,10,10.0
오랜만에 보니까 또 다르게 느껴지는 느낌이네요 사랑과 연애에 대해 여러 생각을 하게 만드는 영화입니다 ,0.9915624260902405,10,10.0
초반에는 연애하고 싶고 후반에는 사랑하고 싶은 영화 ,0.9828166961669922,10,10.0
예상 가능한 반전이지만 재밌어요 ,0.992436945438385,10,10.0
뻔한 사랑이야기같지만 뻔하지 않은 사랑과삶에 관한이야기 ,0.992393970489502,9,9.0
누군가의 인생영화 누군가의 로맨스사랑은 이처럼 ,0.9921126365661621,10,10.0
최근의 상황과 심정을 대변해주는 영화 ,0.9361206293106079,10,9.0
인생영화 인생영화 인생영화 왜 이걸 지금봤지 ,0.9908369779586792,10,10.0
년전에는 이런감동 못느꼈습니다근데 년이 지난 지금은첫사랑이 끝사랑이된 저 커플이 참 부러워요저런 사랑 평생 못하겠죠 ,0.9923545122146606,10,10.0
노아는 진국인 남자이긴하나  약혼자입장에선 억장와르륵 ,0.1122191771864891,9,1.0
몇번을 봐도 좋네요 ,0.9923179149627686,10,10.0
재개봉해서 봤는데 레이첼 사랑스러움 미쳤다 진짜 과즙미 뿜뿜 웃는거 너무 예쁘고 컬러풀한 옷들도 찰떡같이 소화함   라이언고슬링 어림  판타지 같은 이야기라 생각했는데 실화라해서 놀랐고 오리떼가 가 아니라니 약혼자와 미망인의 입장에선 쓰레기같은 상황이겠지만 앨리와 노아로만 본다면 완벽한 사랑영화 ,0.9918816685676575,10,10.0
개인적으로 너무감동입니다 ,0.9922676682472229,8,8.0
둘의 짧지만 강렬했던 여름의 장면이 풋풋했다 ,0.9917839765548706,10,10.0
인생이 무엇인지 좀씁쓸합니다 ,0.9109228849411011,10,9.0
이걸 왜 이제 관림했는지너무 좋았습니다  ,0.971143364906311,8,8.0
앨리 약혼남 불쌍여주 얼굴 보는 맛이있고딱 잔잔하게 차분하게 볼 수 있었어요음 저는 여주 어머니가 인상깊네요나도 이런 사랑 하고싶다 ,0.9924535155296326,10,10.0
나다울때의 모습을찾아 첫사랑을만나는것이 정말아름다웠습니다노후까지함께하는 사랑하는 부부의 모습에 뭉클했습니다영상미도 세련되고 여주인공이 너무예쁩니다풋사랑의 진가를 잘표현하여 저도사랑하고싶어집니다 ,0.9910014271736145,9,9.0
눈물나가지고 참아가면서 봤는데 끝날때쯤엔 영화관에 있는 사람들 다 훌쩍거리면서 봤네요 스토리에 아주 특별할 건 없는 고전적인 로맨스지만 수많은 뻔한 로맨스 중에서도 최고 ,0.9922806024551392,10,10.0
내 생애 최고의 영화 중 하나 ,0.9806249141693115,10,10.0
재밌게 보고가용 여운이 길게 남는듯 ,0.9922966361045837,9,9.0
내생에 최고의 멜로영화 ,0.9828296303749084,9,9.0
이걸 왜 이제야봤는가 ,0.992455005645752,10,10.0
굿 아주 재밌네요 한번 더 볼래요 ,0.9924747347831726,10,10.0
볼만했음자자 ,0.9399158358573914,10,9.0
 쟈맜었어요 짠짱 엄총 ,0.9920254349708557,10,10.0
젊은날의순수한사랑이 긴인생의 힘으로 나타나는영화 ,0.9910866618156433,10,10.0
나도 치매걸리면 어카징  ,0.2873460054397583,10,3.0
사랑하는 사람과 함께 보면 좋을 영화 ,0.9920108914375305,9,9.0
재미있어요열자 ,0.9904650449752808,10,10.0
론의 입장에서 생각하게된다 ,0.771713137626648,3,2.0
다시 봐도 멋진 노아 그리고 사랑스러운 앨리 ,0.9919557571411133,10,10.0
인생영화 등극 ,0.9916316866874695,10,10.0
안보았음후회될뻔한 영화돈이 아깝지않다는 생각 ,0.4806417226791382,10,5.0
아름다운 영화 ,0.991374671459198,8,8.0
레이첼맥아담스는 언제봐도 사랑스러워 ,0.9923393726348877,10,10.0
아름다운영화입니다즐거웠어요 ,0.9923726320266724,10,10.0
최고의 영화입니다 배경 배우 연기 내용 등등 빠질 거 없이 완벽한 영화라고 말하고 싶습니다 ,0.9918249249458313,10,10.0
영화 같은 결말 현실은 다르다 ,0.7870305776596069,8,6.0
재밌음 심야로봤는데 안졸았음 ,0.865227460861206,10,9.0
진짜 재미있었음 또 보고 싶다 여자 주인공 매력이 넘친다 ,0.9918258190155029,10,10.0
시부모님 결혼기념일에 선물로 이영화 예매했네요두분 연애하셨을때 추억 다시 기억나시라고 했는데 두분 다 너무 잘보셨다고 좋아하셨어요 ,0.872700572013855,10,9.0
너무 좋은 여운이 강하게 남은 영화입니다 ,0.9919107556343079,10,10.0
보다가졸다가나와씅 ,0.008157598786056042,10,0.0
정말 좋은 영화 감성 풍부 ,0.9924045205116272,10,10.0
명작 중의 명작 너무 좋은 영화라 두고두고 계속 보고 싶은 영화 ,0.9919078350067139,10,10.0
정말 재미있거봤네요 시간잘갓읍니다 ,0.9538642168045044,10,10.0
라면먹고갈래들에게는보여주기싫은영화 ,0.013213306665420532,8,0.0
같이 봤던 사람이 앨리랑 너무 겹쳤다옆을 보고싶었지만 보지못했다하지만 영화 덕분에 지금은 볼 수 있다 ,0.9384914040565491,10,9.0
정말 지루했던 시간이었다 ,0.0072363633662462234,1,0.0
너무 뻔한 스토리 그래도 감동적 ,0.6866590976715088,9,6.0
완전 재밌습니다 너무 재밌습니다 ,0.9920427203178406,10,10.0
사랑의 위대함 두번째보는 영화 ,0.9897178411483765,10,10.0
레이첼 맥아담스 너무 너무 너무 예쁘다 ,0.992427408695221,6,6.0
재개봉한 영화중 인생영화 찍은듯 ,0.9910263419151306,10,10.0
최고의 멜로영화 입니다 ,0.9924861192703247,10,10.0
재밌어요 십자십자 ,0.9924920201301575,8,8.0
재개봉해서 넘 좋았어요  ,0.9922741055488586,9,9.0
인생 로맨스정말 사랑합니다 노아 ,0.992416501045227,10,10.0
오랜만에 봤는데 여전히 명작 ,0.992062509059906,10,10.0
재개봉인데도 영화관을 찾게하는 힘 ,0.8471832871437073,10,8.0
너무 뻔하지만너무 감동스런 이야기그들의 사랑이 아름답고 부러워서 훌쩍 했네요 ,0.9920370578765869,9,9.0
너무나 아름다운영화 강추 ,0.9920990467071533,10,10.0
너무나도 즐겁게봤습니다 ,0.9920715689659119,10,10.0
년에 처음 영화 노트북을 보고 이번 재개봉 때 다시 봤습니다 두 번다 너무 감동적이었고 로 또 볼겁니당 ,0.9918683767318726,10,10.0
어느 누군가에겐 명작이라해서 추천받아 재개봉으로 본것인데 한편으론 부러우면서 약혼자입장서 보면 속터지는 영화 ,0.6197170615196228,8,5.0
재밌었다 후후 나도모르게눈물이 ,0.9919875860214233,10,10.0
너무 아름다운 젊은 날과 노년의 사랑나도 저런 사랑을 하고싶다 ,0.9920675754547119,9,9.0
옛날영화지만 정말 최고인거같습니다 여자친구와봣는데 정말 울컥하고 연인간의 공감대형성을 시켜주는그런 대작인거같습니다 ,0.9914429783821106,10,10.0
여년전 영화를 봤을 당시와는 또 다른 느낌이라 새로웠다 남녀 주인공의 연기가 실제라고 해도 믿을만큼 너무나 자연스러웠다 ,0.9921978116035461,8,8.0
완전 감동완전 강추요 ,0.9921274185180664,10,10.0
재개봉하면서 봤지만 정말 사랑스러운 영화 한편의 드라마 같았어요 ,0.9918156266212463,8,8.0
존잼 꿀잼 후히호하류사 ,0.8756169080734253,10,9.0
재미있었고 또보고싶은 영화입니다 ,0.9917747974395752,9,9.0
적당히 감동이 있는영화 ,0.9925051927566528,8,8.0
보는 내내 가슴이 먹먹하다가 움찔했다가 ,0.9920400381088257,10,10.0
주인공들 연기 케미 최고 ,0.9923261404037476,8,8.0
훌륭한 명작영화입니다 ,0.9923147559165955,10,10.0
이런 사랑이 나에게 있었을까 싶었던 영화 ,0.9879658818244934,9,9.0
명불허전 감동적인 영화 ,0.992318868637085,10,10.0
그저 사랑이라는 정서 하나로 모든 것을 풀어내는 게 대단하기도 조금은 식상하기도 하다 ,0.32287418842315674,7,2.0
아주 아름다운 사랑의 얘기  한편 잘봣어요 ,0.9924726486206055,8,8.0
인생을 다시한번 돌아보는 좋은기회였네요  부부의 사랑이 무엇인지도 ,0.9916276931762695,10,10.0
